	NotOutlier_PIK3CA.Mutation.Status_False	NotOutlier_PIK3CA.Mutation.Status_True	Outliers_PIK3CA.Mutation.Status_False	Outliers_PIK3CA.Mutation.Status_True	fisherp_PIK3CA.Mutation.Status_False	fisherp_PIK3CA.Mutation.Status_True	fisherFDR_PIK3CA.Mutation.Status_False	fisherFDR_PIK3CA.Mutation.Status_True
NP_055446	669.0	330.0	22.0	21.0		0.046517868907890864		0.17057985211530763
NP_055456	1395.0	726.0	41.0	37.0		0.020842888354469312		0.10186121244200325
NP_055464	276.0	137.0	15.0	11.0		0.39310667244735364		0.5414150988706734
NP_055475	621.0	328.0	17.0	14.0		0.251685710689856		0.42944264875193805
NP_055504	500.0	252.0	21.0	12.0		0.7108591614027375		0.807601183468914
NP_055535	769.0	414.0	31.0	20.0		0.5511075726273322		0.6843694745871207
NP_055542	546.0	301.0	23.0	19.0		0.24847980310885598		0.4277805701249055
NP_055601	1234.0	639.0	45.0	25.0		0.7980499623771817		0.8698170453247701
NP_055623	317.0	164.0	12.0	11.0		0.18477104410662928		0.36832648923887285
NP_055627	1777.0	913.0	70.0	43.0		0.3637665452065838		0.5281781380046298
NP_055662	951.0	491.0	40.0	26.0		0.4262430968087875		0.5626289618886646
NP_055726	617.0	306.0	30.0	21.0		0.2859355258503573		0.45840457318866806
NP_055792	1729.0	867.0	111.0	60.0		0.6759718985267766		0.7854230597945575
NP_055816	1383.0	739.0	59.0	52.0		0.010964112223201856		0.07909823818167054
NP_055820	1552.0	793.0	38.0	32.0		0.04132447882419288		0.1629254320022383
NP_055872	753.0	382.0	18.0	18.0		0.0494840137671898		0.1734377196326573
NP_055880	578.0	275.0	8.0	13.0		0.007903676196696038		0.0748379339874656
NP_055885	1440.0	767.0	104.0	72.0		0.10164781281228377		0.2548842335629371
NP_055888	849.0	427.0	24.0	20.0		0.1064612784758826		0.26014328530800346
NP_055915	488.0	279.0	26.0	17.0		0.7452477636225046		0.8241243517431346
NP_055927	1087.0	556.0	41.0	23.0		0.7879962709068576		0.8619598198006421
NP_055940	1093.0	582.0	50.0	31.0		0.5511094118787374		0.6843694745871207
NP_055962	359.0	183.0	10.0	9.0		0.2269302273132223		0.41497641762242926
NP_055968	593.0	304.0	23.0	16.0		0.3898462115970827		0.5393762653603473
NP_055970	657.0	338.0	23.0	14.0		0.6018175569397428		0.7210405546743913
NP_055987	937.0	490.0	22.0	25.0		0.011965634991973517		0.07927173963455211
NP_056056	740.0	375.0	17.0	11.0		0.5474282618483921		0.6843694745871207
NP_056060	638.0	324.0	16.0	16.0		0.060282894010948274		0.1943161370778439
NP_056067	746.0	363.0	11.0	19.0		0.0012184875670498327		0.02461344885440662
NP_056073	964.0	460.0	34.0	24.0		0.1548265463755325		0.3395202950227904
NP_056093	1031.0	520.0	16.0	14.0		0.17100408553460889		0.3547617425618968
NP_056134	875.0	434.0	22.0	17.0		0.1730787419087743		0.3547617425618968
NP_056141	453.0	223.0	8.0	12.0		0.015954388758594094		0.09183381451320512
NP_056145	653.0	341.0	19.0	16.0		0.20508145810177578		0.3908156088354595
NP_056193	890.0	460.0	35.0	21.0		0.6665213856720409		0.7827074226746953
NP_056224	486.0	269.0	20.0	13.0		0.7116485676112212		0.807601183468914
NP_056261	683.0	362.0	20.0	15.0		0.36763315982858413		0.5304421306098143
NP_056262	673.0	366.0	26.0	15.0		0.8686061024406062		0.9117038995585144
NP_056342	518.0	274.0	22.0	15.0		0.4825103741494691		0.6194942515563099
NP_056345	527.0	261.0	15.0	10.0		0.5196474869060912		0.6587999520190194
NP_056364	964.0	479.0	35.0	19.0		0.7697095369870577		0.8450072090836177
NP_056371	1639.0	819.0	73.0	40.0		0.6834661900138594		0.7904208228022879
NP_056390	712.0	363.0	22.0	12.0		0.8552609862340437		0.9077354715223677
NP_056393	427.0	214.0	16.0	11.0		0.41463419483486375		0.5534544538985186
NP_056418	442.0	250.0	15.0	14.0		0.23704714735293228		0.42079585437294026
NP_056450	633.0	322.0	27.0	14.0		1.0		1.0
NP_056969	640.0	317.0	31.0	26.0		0.06094149359640028		0.19437129010220303
NP_056986	529.0	258.0	17.0	12.0		0.32360047304200756		0.48569701179110614
NP_056988	694.0	332.0	25.0	16.0		0.3971311129882862		0.5420303028623906
NP_057332	1079.0	544.0	32.0	21.0		0.3768332149343903		0.534554164017416
NP_057404	992.0	499.0	37.0	22.0		0.5748047708319124		0.7051248808180949
NP_057417	7143.0	3764.0	415.0	225.0		0.7324711622318842		0.8130877075910224
NP_057562	639.0	327.0	29.0	22.0		0.1762902524586602		0.35849628520116805
NP_057591	1065.0	515.0	28.0	31.0		0.0027770296881986147		0.04076250795932408
