	NotOutlier_PAM50_Her2_Her2	NotOutlier_PAM50_Her2_not-Her2	Outliers_PAM50_Her2_Her2	Outliers_PAM50_Her2_not-Her2	fisherp_PAM50_Her2_Her2	fisherp_PAM50_Her2_not-Her2	fisherFDR_PAM50_Her2_not-Her2	fisherFDR_PAM50_Her2_Her2
NP_036556	194.0	1045.0	2.0	50.0		0.01657903986803398	0.10942166312902425	
NP_054706	255.0	1329.0	4.0	44.0		0.16515011723145395	0.41922722066446005	
NP_054831	288.0	1411.0	6.0	67.0		0.05300344570911367	0.20577808334126482	
NP_054878	219.0	1203.0	5.0	37.0		0.6664526179047385	0.9282317612929735	
NP_055144	162.0	923.0	3.0	39.0		0.18785476100563475	0.44412199103449235	
NP_055160	401.0	2049.0	3.0	69.0		0.0029258315714314025	0.027586411959210366	
NP_055456	357.0	1748.0	5.0	89.0		0.001541336543412027	0.018496038520944325	
NP_055554	415.0	2090.0	8.0	64.0		0.2598910468631983	0.5623871833761013	
NP_055599	297.0	1622.0	5.0	59.0		0.11056760968061756	0.3317028290418527	
NP_055601	297.0	1587.0	8.0	51.0		0.8554026102047712	1.0	
NP_055617	161.0	840.0	2.0	45.0		0.02338298995953412	0.1187347885460488	
NP_055627	423.0	2276.0	14.0	90.0		0.6789761594460275	0.9335922192382878	
NP_055792	435.0	2245.0	13.0	74.0		0.8824997306765188	1.0	
NP_055816	361.0	1815.0	8.0	49.0		0.7197154304878395	0.9563255896724869	
NP_055831	157.0	794.0	2.0	36.0		0.07101411759375167	0.24035547493269796	
NP_055857	240.0	1175.0	5.0	47.0		0.18841539013584524	0.44412199103449235	
NP_055858	122.0	589.0	2.0	32.0		0.09938364627543686	0.30749433858411196	
NP_055885	378.0	1940.0	8.0	57.0		0.4948120729184392	0.8063604151263454	
NP_055912	201.0	1089.0	6.0	53.0		0.3544332558882888	0.6780462286558568	
NP_055940	280.0	1426.0	7.0	43.0		0.8459169378849991	1.0	
NP_055972	350.0	1885.0	12.0	73.0		0.8787477207838236	1.0	
NP_056018	267.0	1383.0	10.0	69.0		0.5292146938207435	0.8408243881675115	
NP_056073	225.0	1209.0	5.0	43.0		0.4187106585883381	0.7468892828873059	
NP_056141	107.0	555.0	2.0	32.0		0.14480170861606206	0.3935323140701004	
NP_056171	367.0	1876.0	13.0	81.0		0.571272292956714	0.8521734070485201	
NP_056182	89.0	431.0	6.0	31.0		1.0	1.0	
NP_056390	170.0	894.0	6.0	39.0		0.8348645440562938	1.0	
NP_057332	268.0	1343.0	4.0	61.0		0.024309344562468884	0.1187347885460488	
NP_057404	236.0	1269.0	4.0	41.0		0.2947511870936263	0.5928326670194533	
NP_057417	1816.0	9482.0	21.0	228.0		0.0006024722655169996	0.009940792381030494	
NP_060621	247.0	1290.0	4.0	55.0		0.06609528133005904	0.23597753118106754	
NP_060649	164.0	815.0	2.0	28.0		0.20864412937707597	0.4748452599616212	
NP_060873	142.0	786.0	2.0	28.0		0.2965257424002258	0.5928326670194533	
NP_061322	217.0	1166.0	6.0	47.0		0.5606050953607529	0.8521734070485201	
NP_062536	472.0	2342.0	22.0	123.0		0.7317339739160695	0.9563255896724869	
NP_062565	213.0	1189.0	8.0	54.0		0.7196778148474594	0.9563255896724869	
