	NotOutlier_GATA3.Mutation.Status_False	NotOutlier_GATA3.Mutation.Status_True	Outliers_GATA3.Mutation.Status_False	Outliers_GATA3.Mutation.Status_True	fisherp_GATA3.Mutation.Status_False	fisherp_GATA3.Mutation.Status_True	fisherFDR_GATA3.Mutation.Status_False	fisherFDR_GATA3.Mutation.Status_True
NP_036347	179.0	14.0	7.0	4.0		0.009610146194915093		0.07825153839761977
NP_036350	793.0	76.0	25.0	4.0		0.31787468620582005		0.43615363921263683
NP_036369	160.0	15.0	8.0	4.0		0.022542619316909002		0.10595623229536422
NP_036377	222.0	22.0	15.0	3.0		0.39360352675369253		0.5160200802048837
NP_036380	248.0	20.0	14.0	5.0		0.016702085960600174		0.08909946501247873
NP_036422	358.0	36.0	19.0	3.0		0.4486120464622685		0.5531281708106778
NP_036424	607.0	58.0	30.0	3.0		1.0		1.0
NP_036441	1213.0	107.0	27.0	5.0		0.17946248580702748		0.29411907396151726
NP_036556	1134.0	114.0	38.0	5.0		0.58767767222822		0.6597396278080018
NP_037418	882.0	82.0	32.0	5.0		0.24490955479876636		0.3612415933281804
NP_037428	178.0	12.0	5.0	3.0		0.01578318380011057		0.08755908582797373
NP_037487	81.0	6.0	0.0	4.0		7.857311228097776e-05		0.006363630490766076
NP_037524	386.0	35.0	25.0	6.0		0.05047617571795376		0.14488026652018077
NP_038476	314.0	30.0	17.0	3.0		0.40955860482859807		0.528976080291821
NP_054749	904.0	80.0	31.0	4.0		0.5238889491915082		0.6073908996084953
NP_054828	781.0	73.0	28.0	5.0		0.20153728665845902		0.3175557840226758
NP_054878	1266.0	128.0	63.0	7.0		0.8313701462919643		0.8457041143314808
NP_054908	1046.0	97.0	43.0	7.0		0.19412794912665451		0.30955537833709773
NP_055062	682.0	70.0	29.0	4.0		0.5416888577881215		0.6172463164924732
NP_055144	987.0	95.0	37.0	8.0		0.05798567777318917		0.15783331586171942
NP_055160	2182.0	208.0	115.0	17.0		0.11479944251050912		0.22522092520352863
NP_055192	266.0	19.0	11.0	6.0		0.0011671215895632135		0.029600521413501044
NP_055205	429.0	41.0	15.0	3.0		0.21520670110172596		0.3321940647820247
NP_055362	236.0	21.0	5.0	4.0		0.005610707819586739		0.06080175208572568
NP_055412	843.0	79.0	30.0	5.0		0.22376764360069168		0.3388888034357678
NP_055456	1949.0	164.0	75.0	11.0		0.1015233048262666		0.20976215899901776
NP_055462	328.0	30.0	15.0	5.0		0.02838668792576742		0.1133333179592669
NP_055475	872.0	72.0	27.0	9.0		0.0017132919484618367		0.03369474165308278
NP_055476	486.0	48.0	27.0	5.0		0.20913962843176956		0.325673277817404
NP_055502	407.0	36.0	14.0	3.0		0.16705987610173828		0.2816152197143588
NP_055518	231.0	20.0	12.0	5.0		0.013435926735393417		0.08117964724496458
NP_055527	393.0	38.0	20.0	5.0		0.07482747283575815		0.17350824487243482
NP_055535	1077.0	105.0	43.0	9.0		0.04936999550341243		0.14354092020257847
NP_055554	2219.0	214.0	129.0	15.0		0.4543841705362758		0.5531281708106778
NP_055572	278.0	29.0	20.0	4.0		0.2797619829457867		0.39368894452961956
NP_055599	1745.0	169.0	58.0	11.0		0.053174073620897		0.1494183033338106
