	NotOutlier_PR Status_Negative	NotOutlier_PR Status_Positive	Outliers_PR Status_Negative	Outliers_PR Status_Positive	fisherp_PR Status_Negative	fisherp_PR Status_Positive	fisherFDR_PR Status_Positive	fisherFDR_PR Status_Negative
NP_112197	347.0	437.0	9.0	28.0		0.017413142675040787	0.11166523239232505	
NP_112223	183.0	227.0	7.0	15.0		0.2759153488712419	0.4804732799309558	
NP_112533	411.0	513.0	9.0	17.0		0.42383668258323937	0.6265283835466414	
NP_112553	224.0	279.0	6.0	17.0		0.08923644593215035	0.2792908328507465	
NP_113584	1157.0	1465.0	32.0	95.0		2.0566374619491467e-05	0.002769605115424851	
NP_114032	243.0	310.0	14.0	26.0		0.322648768231599	0.5306744797519353	
NP_114128	686.0	908.0	25.0	42.0		0.3798390561819254	0.5835354073676378	
NP_115593	539.0	702.0	14.0	46.0		0.0019545253500391725	0.03158512965663303	
NP_115599	163.0	196.0	2.0	15.0		0.005615950806815869	0.05817549040906695	
NP_115812	1291.0	1751.0	42.0	69.0		0.3789121081416515	0.5835354073676378	
NP_115820	250.0	355.0	10.0	27.0		0.11937670318603931	0.3178529445549335	
NP_116114	446.0	641.0	36.0	57.0		0.7418289937641731	0.8442222914950026	
NP_116165	339.0	466.0	16.0	31.0		0.2913211537058441	0.49870231397102127	
NP_203744	470.0	578.0	7.0	37.0		0.0001338535896525487	0.00675960627745371	
NP_203752	450.0	578.0	5.0	24.0		0.003983199782478983	0.04732978565063262	
NP_203754	2507.0	3206.0	66.0	119.0		0.02880465436834584	0.14947575367532337	
NP_277052	631.0	783.0	18.0	47.0		0.007134016024335194	0.06862243985312902	
NP_361013	589.0	760.0	18.0	24.0		1.0	1.0	
NP_443094	506.0	667.0	16.0	43.0		0.015123874854781274	0.10183409068886058	
NP_444271	245.0	310.0	15.0	27.0		0.3344513911866468	0.5470379029935437	
NP_476510	439.0	540.0	10.0	35.0		0.003118580958340342	0.043445058867913736	
NP_510880	717.0	876.0	20.0	46.0		0.022290812506627896	0.13243365077467162	
NP_542194	334.0	433.0	16.0	24.0		0.7444529468107968	0.8448286250324772	
NP_542416	355.0	494.0	8.0	19.0		0.237802056580744	0.43591024714913756	
NP_542417	1007.0	1331.0	33.0	66.0		0.06167825603346322	0.2205134109514968	
NP_570613	247.0	326.0	12.0	20.0		0.5856819002116225	0.741489129994357	
NP_570899	330.0	401.0	11.0	20.0		0.3575850867959447	0.5732713296252446	
NP_597677	668.0	896.0	23.0	52.0		0.04192702946880973	0.17854096891066465	
NP_597709	232.0	301.0	11.0	17.0		0.7002162315976423	0.8200489161439144	
NP_612142	335.0	424.0	11.0	27.0		0.06750139149480958	0.22725468469919224	
NP_612206	387.0	476.0	6.0	23.0		0.012275219193765976	0.08855693846931167	
NP_620305	715.0	914.0	24.0	49.0		0.07028238653648687	0.2314353616801201	
NP_653265	106.0	144.0	6.0	15.0		0.254712899624321	0.4593929082510074	
NP_663719	494.0	625.0	13.0	30.0		0.0845280237662796	0.26679157501232	
NP_680780	472.0	611.0	17.0	39.0		0.05347865483068748	0.20774400530382442	
NP_683692	708.0	957.0	31.0	52.0		0.36514311347334505	0.5762414759501227	
NP_689749	407.0	507.0	11.0	16.0		0.8446948023161993	0.9223154057722824	
NP_689969	432.0	573.0	12.0	34.0		0.03152693564349156	0.15921102499963236	
NP_694574	220.0	261.0	6.0	16.0		0.1237767580232998	0.31850834548670776	
NP_695012	344.0	421.0	6.0	20.0		0.028046025269305344	0.14947575367532337	
NP_733793	455.0	606.0	15.0	25.0		0.5204291706313893	0.6963151499950062	
NP_778228	565.0	718.0	18.0	30.0		0.45914228471007557	0.6555307250073086	
NP_821133	279.0	334.0	7.0	18.0		0.10153349144213986	0.29510453627787414	
NP_835260	447.0	497.0	10.0	29.0		0.008352075825375794	0.07179231135003873	
NP_848927	377.0	480.0	7.0	28.0		0.004908093481821019	0.05507971574043589	
NP_872363	799.0	995.0	16.0	43.0		0.007656694974778239	0.06979404420625328	
NP_891847	148.0	203.0	7.0	20.0		0.1082369336646296	0.3036479810544287	
NP_892017	545.0	724.0	23.0	35.0		0.6848821996595569	0.8162017954644867	
NP_919254	476.0	617.0	18.0	29.0		0.5487041281525769	0.7192909822123145	
NP_940890	978.0	1236.0	28.0	43.0		0.4675317542321783	0.6604294710132869	
NP_940997	321.0	407.0	11.0	20.0		0.3630671010053683	0.5752121913967404	
NP_942595	410.0	530.0	15.0	28.0		0.27504984310190994	0.4804732799309558	
NP_958431	587.0	768.0	11.0	23.0		0.22352025508961235	0.42903530210462704	
