	NotOutlier_PAM50_LumB_LumB	NotOutlier_PAM50_LumB_not-LumB	Outliers_PAM50_LumB_LumB	Outliers_PAM50_LumB_not-LumB	fisherp_PAM50_LumB_LumB	fisherp_PAM50_LumB_not-LumB	fisherFDR_PAM50_LumB_not-LumB	fisherFDR_PAM50_LumB_LumB
NP_004738	480.0	1092.0	20.0	45.0	1.0			1.0
NP_004765	415.0	970.0	30.0	25.0	0.0002648213747391422			0.002189869060342907
NP_005069	355.0	817.0	25.0	15.0	4.052262312572745e-05			0.0007760616015714448
NP_005086	294.0	695.0	15.0	16.0	0.04479412960593401			0.1153808056816025
NP_005222	407.0	940.0	19.0	34.0	0.3661971210374485			0.4784068469977289
NP_005246	129.0	324.0	11.0	9.0	0.02105387652747245			0.06963974543702427
NP_005426	509.0	1186.0	22.0	38.0	0.31638865551639345			0.4251472558501537
NP_005500	266.0	604.0	8.0	17.0	0.8295684188923669			0.8743000493228376
NP_005535	563.0	1308.0	42.0	36.0	2.602047949636839e-05			0.000621600343524356
NP_005564	280.0	639.0	18.0	25.0	0.12908019077647542			0.24511789357195995
NP_005704	136.0	326.0	10.0	13.0	0.16550372214524295			0.2801834666238365
NP_005753	516.0	1182.0	38.0	51.0	0.0183000408619929			0.061476699770757405
NP_005769	106.0	253.0	7.0	10.0	0.29375410772833555			0.4022747335133257
NP_005844	136.0	325.0	8.0	3.0	0.0043727897547874255			0.02238451898284039
NP_005900	1644.0	3814.0	99.0	196.0	0.21672711035403847			0.339266219035777
NP_005960	192.0	442.0	12.0	17.0	0.21978165980545433			0.339266219035777
NP_006006	325.0	760.0	13.0	19.0	0.24024568604648144			0.3537864554794076
NP_006022	292.0	684.0	18.0	26.0	0.132403912264901			0.24753774901698886
NP_006080	95.0	208.0	11.0	8.0	0.023012236893447526			0.07404590579607742
NP_006188	899.0	2058.0	81.0	71.0	1.572081772479062e-08			1.1266586036099946e-06
NP_006258	1230.0	2870.0	37.0	84.0	0.9198893674378555			0.950847182688168
NP_006266	221.0	511.0	10.0	18.0	0.5342715803679476			0.6242847270603736
NP_006302	712.0	1685.0	37.0	53.0	0.025698568593162573			0.07781960912014019
NP_006303	855.0	2067.0	44.0	51.0	0.000571181206208902			0.0042346192874108245
NP_006305	183.0	413.0	16.0	25.0	0.2965034320591293			0.40346986008046076
NP_006412	217.0	499.0	14.0	18.0	0.11903220130817271			0.22849931501122442
NP_006469	210.0	503.0	19.0	15.0	0.0019429868961632095			0.010993215333555
NP_006531	266.0	627.0	15.0	21.0	0.14001560622065595			0.2590711447560886
NP_006588	85.0	207.0	11.0	7.0	0.007366708915397138			0.03232331462878336
NP_006600	241.0	536.0	16.0	15.0	0.02849166226032297			0.08277982954012754
NP_006717	574.0	1287.0	31.0	35.0	0.0068958987517811			0.03154506875814758
NP_006779	220.0	490.0	10.0	12.0	0.16466796578043671			0.2801834666238365
