	NotOutlier_PAM50_LumA_LumA	NotOutlier_PAM50_LumA_not-LumA	Outliers_PAM50_LumA_LumA	Outliers_PAM50_LumA_not-LumA	fisherp_PAM50_LumA_LumA	fisherp_PAM50_LumA_not-LumA	fisherFDR_PAM50_LumA_not-LumA	fisherFDR_PAM50_LumA_LumA
NP_653173	146.0	349.0	8.0	8.0	0.09672819207580116			0.18441636620059287
NP_653259	146.0	346.0	8.0	11.0	0.3071689317160111			0.3991239622297214
NP_659477	109.0	267.0	10.0	4.0	0.00159511928626839			0.008794711740506798
NP_683692	536.0	1175.0	17.0	20.0	0.0728737413554976			0.1548567003804324
NP_733821	879.0	1979.0	33.0	54.0	0.15883105551778393			0.26778128368287535
NP_757366	305.0	653.0	9.0	12.0	0.3442823190161487			0.43175188593711566
NP_775873	133.0	297.0	7.0	11.0	0.44987472122781114			0.5274393283360543
NP_803187	112.0	257.0	10.0	13.0	0.2444158271388271			0.34151252559123785
NP_821074	208.0	476.0	10.0	9.0	0.046148394533797696			0.10887043712681
NP_835227	213.0	483.0	11.0	8.0	0.020841579105991798			0.06252473731797539
NP_859066	240.0	585.0	23.0	11.0	9.164829450276469e-06			0.00016996592798694543
NP_898868	479.0	1057.0	15.0	26.0	0.4958408209967458			0.5619529304629786
NP_958431	416.0	945.0	16.0	12.0	0.005984132419537939			0.024115802192650318
NP_973728	144.0	317.0	9.0	4.0	0.0062838933560307566			0.02465219701212066
NP_982261	302.0	675.0	11.0	21.0	0.699308519544003			0.7300211411071981
NP_982284	375.0	895.0	11.0	22.0	0.6996263214446958			0.7300211411071981
NP_997245	261.0	566.0	14.0	7.0	0.0014177327256065242			0.00854444119656691
NP_998754	414.0	923.0	20.0	31.0	0.22020640567950858			0.31830320182241184
XP_003846661	414.0	937.0	18.0	16.0	0.008089312572231796			0.030003995722459754
XP_003960280	369.0	793.0	18.0	9.0	0.00026961001042820603			0.0020370534121242232
XP_003960677	240.0	531.0	12.0	14.0	0.13200398639304234			0.23621765986123366
