	NotOutlier_PAM50_LumB_LumB	NotOutlier_PAM50_LumB_not-LumB	Outliers_PAM50_LumB_LumB	Outliers_PAM50_LumB_not-LumB	fisherp_PAM50_LumB_LumB	fisherp_PAM50_LumB_not-LumB	fisherFDR_PAM50_LumB_not-LumB	fisherFDR_PAM50_LumB_LumB
NP_001106189	640.0	1516.0	33.0	29.0	0.00019984132356204356			0.02782031409990488
NP_001107854	392.0	858.0	16.0	32.0	0.7536074390191679			0.8950697797379519
NP_001122321	184.0	435.0	10.0	19.0	0.6784005498442459			0.8689359809351788
NP_001123617	345.0	804.0	12.0	18.0	0.23440840591523854			0.5609355228968438
NP_001123910	295.0	654.0	9.0	12.0	0.24464448012171017			0.5609355228968438
NP_001124427	188.0	452.0	9.0	13.0	0.2438187408148864			0.5609355228968438
NP_001127853	325.0	730.0	12.0	26.0	1.0			1.0
NP_001127910	510.0	1211.0	19.0	21.0	0.021963644631648474			0.2346642031697179
NP_001129119	178.0	410.0	11.0	22.0	0.7005847467172404			0.8689359809351788
NP_001135452	1631.0	3688.0	48.0	96.0	0.5217953418525216			0.7887516331802803
NP_001157745	384.0	874.0	30.0	43.0	0.06819651236476992			0.3643129476328498
NP_001162589	173.0	410.0	10.0	14.0	0.2555635057832337			0.5612501830079493
NP_001177893	112.0	265.0	8.0	8.0	0.09879810211126147			0.40930642303236897
NP_001184223	338.0	766.0	8.0	15.0	0.6529792063564863			0.8689359809351788
NP_001186064	218.0	501.0	12.0	13.0	0.07683373987764704			0.3708789555681833
NP_001186346	194.0	463.0	10.0	18.0	0.5277256132559924			0.7887516331802803
NP_001191332	376.0	871.0	16.0	26.0	0.3061552273749054			0.6341786852765898
NP_001230368	322.0	759.0	16.0	31.0	0.5191988664885323			0.7887516331802803
NP_001234918	167.0	374.0	9.0	20.0	1.0			1.0
NP_001240628	428.0	983.0	15.0	30.0	0.7421671259510491			0.8950697797379519
NP_001240841	253.0	563.0	14.0	23.0	0.3708306544421231			0.6906295674472568
NP_001243111	266.0	591.0	12.0	22.0	0.576841868525127			0.813186800768061
NP_001243399	325.0	718.0	10.0	15.0	0.3842623282909499			0.6966100526891086
NP_001254507	198.0	465.0	8.0	9.0	0.1782120008090543			0.5134437886717305
NP_001258928	482.0	1103.0	24.0	44.0	0.4204856461633386			0.7233778489081164
NP_001265389	532.0	1287.0	10.0	19.0	0.5408497102046403			0.7887516331802803
NP_001265612	137.0	347.0	11.0	12.0	0.05874681265685805			0.3407315134097767
NP_001334	230.0	551.0	12.0	16.0	0.1426779270839716			0.5049271219191581
NP_001419	220.0	507.0	12.0	13.0	0.0765027171553083			0.3708789555681833
NP_001605	293.0	679.0	16.0	32.0	0.6318702591897207			0.8619351822918535
NP_001871	145.0	362.0	12.0	14.0	0.07543670353618427			0.3708789555681833
NP_001972	368.0	845.0	18.0	27.0	0.1879677209183497			0.5134437886717305
NP_002547	306.0	694.0	10.0	18.0	0.5401632770958731			0.7887516331802803
NP_002568	266.0	618.0	8.0	17.0	0.8272462641557443			0.9290370866384985
NP_002645	260.0	581.0	10.0	12.0	0.16416349776681988			0.5049271219191581
NP_002678	263.0	618.0	13.0	17.0	0.15523074889072147			0.5049271219191581
NP_002731	101.0	253.0	7.0	5.0	0.046897595967781175			0.33195298462941425
NP_002733	189.0	433.0	10.0	13.0	0.24869062591485686			0.5609355228968438
NP_002758	90.0	213.0	8.0	11.0	0.30422101135703294			0.6341786852765898
NP_002871	156.0	366.0	10.0	18.0	0.5292178821631957			0.7887516331802803
NP_003153	132.0	312.0	11.0	8.0	0.019235738976923232			0.2346642031697179
NP_003289	149.0	356.0	7.0	5.0	0.05069232770202877			0.33195298462941425
NP_003371	779.0	1775.0	26.0	45.0	0.29653966711329993			0.6270578377499989
NP_003622	153.0	352.0	9.0	9.0	0.11581451616784089			0.4441321787431847
NP_003861	113.0	280.0	8.0	12.0	0.31542399408695887			0.6403107079965265
NP_003925	109.0	266.0	9.0	5.0	0.013605020147620543			0.2346642031697179
NP_003989	149.0	331.0	7.0	11.0	0.45178636821993035			0.7642719395720489
NP_004230	198.0	512.0	12.0	11.0	0.017374447207988326			0.2346642031697179
