	NotOutlier_PAM50_Her2_Her2	NotOutlier_PAM50_Her2_not-Her2	Outliers_PAM50_Her2_Her2	Outliers_PAM50_Her2_not-Her2	fisherp_PAM50_Her2_Her2	fisherp_PAM50_Her2_not-Her2	fisherFDR_PAM50_Her2_not-Her2	fisherFDR_PAM50_Her2_Her2
NP_004806	132.0	701.0	5.0	13.0	0.18989937785346606			0.24269527475304686
NP_004808	351.0	1978.0	22.0	54.0	0.0031434733986250444			0.013663216059370242
NP_004831	72.0	392.0	6.0	15.0	0.1264379514168825			0.17768913904423408
NP_004850	61.0	365.0	4.0	7.0	0.06519413431436419			0.11028988425435791
NP_004860	11.0	84.0	5.0	6.0	0.011159642568119384			0.03299045850103979
NP_004865	27.0	173.0	5.0	7.0	0.020924873663496373			0.05006005197969977
NP_004870	28.0	164.0	5.0	6.0	0.01889528892699846			0.04663853857394318
NP_004949	54.0	292.0	4.0	16.0	0.5372499507278402			0.5662730573097764
NP_005044	36.0	234.0	6.0	17.0	0.11615316855901223			0.16711023597745703
NP_005057	61.0	316.0	9.0	16.0	0.02430596903824722			0.05514377471726372
NP_005069	180.0	991.0	16.0	25.0	0.00029001754981478804			0.002738015147713805
NP_005073	34.0	182.0	6.0	16.0	0.22545457723878937			0.2768519144274924
NP_005076	245.0	1265.0	26.0	50.0	0.00022600460217801505			0.0023622861989559193
NP_005086	157.0	823.0	15.0	25.0	0.001671447496958934			0.00922975410270405
NP_005100	43.0	260.0	9.0	10.0	0.0009828601241847522			0.0063933019721650955
NP_005110	381.0	2090.0	47.0	100.0	1.472763311357677e-06			7.401978297210135e-05
NP_005119	134.0	729.0	7.0	21.0	0.18689265668418872			0.23990022305368086
NP_005137	79.0	399.0	4.0	18.0	0.7725214730563515			0.7868606187279311
NP_005262	25.0	154.0	5.0	8.0	0.03448000455597617			0.07056746853181137
NP_005313	45.0	257.0	6.0	13.0	0.09573072925449885			0.14592288244001736
NP_005337	37.0	203.0	6.0	9.0	0.0248628143727802			0.05611709773599233
NP_005349	398.0	2196.0	33.0	84.0	0.000644330494949405			0.004890368688824428
NP_005372	185.0	1020.0	12.0	26.0	0.012001075338196616			0.03454735785880862
NP_005376	122.0	729.0	12.0	28.0	0.011713739536892573			0.033942783212513795
NP_005383	141.0	821.0	15.0	25.0	0.000463840086951929			0.003953898993629064
NP_005392	125.0	707.0	10.0	18.0	0.0068133543949216125			0.023097008334908017
NP_005409	191.0	1034.0	7.0	13.0	0.028365549300326916			0.06164592149922533
NP_005426	257.0	1452.0	15.0	31.0	0.0030156840501019957			0.013440459878119555
NP_005432	60.0	332.0	9.0	11.0	0.0022559161027778463			0.011253945103630392
NP_005446	106.0	600.0	9.0	22.0	0.043761653587037055			0.08352767793351855
NP_005500	127.0	723.0	15.0	30.0	0.0026294307989453473			0.012327412393402737
NP_005511	63.0	388.0	5.0	16.0	0.20615407151165646			0.25857610683890625
NP_005517	97.0	541.0	13.0	13.0	5.680655206680141e-05			0.0009410594851821064
NP_005535	285.0	1612.0	14.0	38.0	0.029439952550168073			0.06318580861142958
NP_005549	154.0	758.0	4.0	16.0	0.761676719396534			0.779597723152701
NP_005564	139.0	779.0	13.0	31.0	0.017872806753188142			0.04522283668385933
NP_005602	154.0	804.0	12.0	30.0	0.052783061027201685			0.09496624504484237
NP_005624	93.0	508.0	14.0	25.0	0.002842497549110875			0.012864499217110043
NP_005657	12.0	83.0	4.0	2.0	0.005426080163244641			0.020236919327088033
NP_005677	81.0	422.0	5.0	6.0	0.023529293453269963			0.054080417937096927
NP_005688	14.0	87.0	6.0	6.0	0.006872928249942532			0.023209350013267478
NP_005704	73.0	396.0	6.0	10.0	0.031680801311294984			0.06607064976559857
NP_005742	109.0	673.0	9.0	18.0	0.010277835235938377			0.031662945042645246
NP_005750	55.0	358.0	7.0	10.0	0.005571131298324735			0.02029648663871003
NP_005757	164.0	837.0	12.0	37.0	0.1673254479018716			0.21796624176805687
NP_005769	54.0	304.0	6.0	12.0	0.050076573190256164			0.09178962684978062
NP_005793	92.0	494.0	15.0	23.0	0.0006162889619392533			0.004819268005906448
NP_005808	107.0	643.0	7.0	25.0	0.3011329813406076			0.34606643667153597
NP_005830	535.0	3123.0	109.0	168.0	9.572820018128152e-22			4.202467987958259e-19
NP_005839	145.0	758.0	13.0	53.0	0.48874693481618636			0.5239558104622852
NP_005852	43.0	236.0	5.0	8.0	0.04463064410899609			0.08433925351461583
NP_005853	87.0	436.0	8.0	20.0	0.12097968384155633			0.17159961617590702
NP_005909	19.0	153.0	4.0	1.0	0.0010217801846604457			0.006548343081254535
NP_005911	86.0	512.0	4.0	13.0	0.2935244370188206			0.33820794711617386
NP_005912	89.0	482.0	7.0	15.0	0.06855093873708736			0.114982949752634
NP_005925	59.0	305.0	4.0	13.0	0.4995292423938982			0.532424193948496
NP_005958	98.0	556.0	5.0	11.0	0.08364111982115227			0.1320807611564239
NP_005959	134.0	727.0	12.0	26.0	0.02142039824504166			0.05069301794918215
NP_005981	115.0	611.0	13.0	27.0	0.01410021889751056			0.039053603129382566
NP_006006	173.0	896.0	11.0	37.0	0.23164419162179667			0.28365913562613315
NP_006022	157.0	823.0	16.0	24.0	0.0003515740116528894			0.0031822884766106894
NP_006028	77.0	451.0	7.0	20.0	0.16152707108020217			0.21262484019253
NP_006133	22.0	152.0	4.0	4.0	0.015604314276725676			0.04126683112941308
NP_006176	369.0	1865.0	17.0	67.0	0.3707762104423978			0.4114880649167386
NP_006188	470.0	2542.0	35.0	62.0	1.6418477681714267e-06			7.587064949760593e-05
NP_006232	57.0	324.0	7.0	17.0	0.08033810470631338			0.12824882896753298
NP_006233	96.0	502.0	10.0	24.0	0.056435215201081815			0.10000209308968043
NP_006244	59.0	350.0	5.0	19.0	0.3767015798699408			0.4155075215148342
NP_006245	144.0	755.0	7.0	30.0	0.6477289207698161			0.6674952962862659
NP_006258	626.0	3465.0	40.0	90.0	1.2856076684598835e-05			0.00031510297323971326
NP_006259	69.0	396.0	6.0	17.0	0.14417603646444277			0.1947485538704319
NP_006266	111.0	603.0	16.0	30.0	0.0018119252195786424			0.009759940753313177
NP_006268	81.0	445.0	4.0	18.0	0.762262891040763			0.779597723152701
NP_006280	306.0	1720.0	11.0	50.0	0.47404361211328716			0.5098039892832712
NP_006300	62.0	338.0	7.0	7.0	0.0034660627291723447			0.014630784020256339
NP_006302	394.0	1983.0	33.0	77.0	0.0006619986162965275			0.004967818676139753
NP_006303	442.0	2428.0	46.0	101.0	2.7901317982174424e-06			0.00011135162358340521
NP_006305	96.0	526.0	6.0	9.0	0.021378633518096234			0.05069301794918215
NP_006319	196.0	1063.0	10.0	40.0	0.4264669122397476			0.46341330315160695
NP_006383	92.0	499.0	8.0	27.0	0.24025762835178607			0.2917651420371621
NP_006411	143.0	748.0	9.0	21.0	0.07415777188230151			0.1214748576728745
NP_006412	113.0	606.0	8.0	21.0	0.11710880823124942			0.16737079002718716
NP_006448	223.0	1161.0	8.0	40.0	0.843502322963973			0.8502813313000784
NP_006485	105.0	566.0	9.0	19.0	0.03272368101417769			0.06776271681709437
NP_006517	73.0	432.0	9.0	13.0	0.0030954862087148715			0.01365747181533496
NP_006531	135.0	753.0	19.0	22.0	4.7413055583388046e-06			0.0001601102415469796
NP_006581	15.0	109.0	6.0	4.0	0.0010364659624663567			0.006558381764992301
NP_006582	35.0	218.0	4.0	8.0	0.0823999340551188			0.13059050920648793
NP_006591	61.0	323.0	7.0	14.0	0.06392076497949577			0.10876440242635133
NP_006608	448.0	2615.0	17.0	57.0	0.0659940143428894			0.11142835498664788
NP_006609	24.0	148.0	5.0	4.0	0.006027210325134799			0.021184813875059893
NP_006653	145.0	803.0	16.0	23.0	0.0001501883434609615			0.0017582048741163225
