	NotOutlier_GATA3.Mutation.Status_False	NotOutlier_GATA3.Mutation.Status_True	Outliers_GATA3.Mutation.Status_False	Outliers_GATA3.Mutation.Status_True	fisherp_GATA3.Mutation.Status_False	fisherp_GATA3.Mutation.Status_True	fisherFDR_GATA3.Mutation.Status_False	fisherFDR_GATA3.Mutation.Status_True
NP_006319	1147.0	114.0	38.0	10.0		0.0193192189254111		0.10088068783497904
NP_006328	292.0	23.0	15.0	3.0		0.1569590201270248		0.286977312918814
NP_006331	749.0	84.0	15.0	3.0		0.417274945291928		0.5314437007022632
NP_006358	540.0	56.0	28.0	3.0		1.0		1.0
NP_006428	878.0	84.0	31.0	6.0		0.13575614671179065		0.2669310719727333
NP_006531	812.0	77.0	34.0	6.0		0.16009534964829972		0.2916234993593564
NP_006540	436.0	39.0	13.0	3.0		0.14898674015443614		0.2786393231895943
NP_006588	268.0	28.0	11.0	3.0		0.15432154077506474		0.285349264074648
NP_006600	714.0	66.0	23.0	5.0		0.09053094005498882		0.20846989409875516
NP_006608	2783.0	286.0	61.0	7.0		0.6773051536198758		0.7391526175361672
NP_006616	184.0	13.0	9.0	3.0		0.05306285696443019		0.15569341265012449
NP_006640	473.0	43.0	14.0	4.0		0.06431806829656211		0.1771694532831725
NP_006653	866.0	85.0	32.0	4.0		0.5579982053618092		0.6199980059575658
NP_006687	497.0	41.0	24.0	6.0		0.02982641849576257		0.11417925830409109
NP_006741	638.0	61.0	18.0	6.0		0.017822982973155724		0.09924160973688984
NP_006757	419.0	34.0	19.0	5.0		0.03755912070574852		0.12804923664120751
NP_006833	658.0	64.0	21.0	6.0		0.03264753270696859		0.12119159868495914
NP_006847	737.0	71.0	24.0	4.0		0.3062872179195195		0.4323595416597233
