	NotOutlier_PAM50_LumA_LumA	NotOutlier_PAM50_LumA_not-LumA	Outliers_PAM50_LumA_LumA	Outliers_PAM50_LumA_not-LumA	fisherp_PAM50_LumA_LumA	fisherp_PAM50_LumA_not-LumA	fisherFDR_PAM50_LumA_not-LumA	fisherFDR_PAM50_LumA_LumA
NP_689749	277.0	640.0	11.0	13.0	0.1168662180591479			0.29464452553094256
NP_689969	312.0	698.0	13.0	28.0	1.0			1.0
NP_694574	139.0	345.0	9.0	10.0	0.1198010328111426			0.3002242749965983
NP_694988	169.0	377.0	12.0	9.0	0.016234044371190342			0.09379670081132198
NP_695012	229.0	536.0	12.0	14.0	0.08533832737231709			0.24315578210194455
NP_775837	103.0	247.0	13.0	6.0	0.0013628548927905066			0.024649897191341336
NP_778228	405.0	879.0	19.0	28.0	0.2048345499401037			0.38710293690246605
NP_848927	265.0	592.0	13.0	22.0	0.4584499299446608			0.6035290216993002
NP_872363	553.0	1248.0	25.0	27.0	0.009718615061428985			0.07092883974656942
NP_891847	112.0	240.0	10.0	16.0	0.5170838202097133			0.6518389975976991
NP_892017	392.0	882.0	22.0	31.0	0.12906562126261478			0.30762800816627667
NP_898868	474.0	1042.0	20.0	41.0	0.7800155557981634			0.8561648316940262
NP_940890	669.0	1550.0	34.0	32.0	0.00037410872326022716			0.010375281925083633
NP_958431	417.0	940.0	15.0	17.0	0.055517335567578804			0.18776594793587628
NP_976226	236.0	532.0	12.0	16.0	0.21167178666675768			0.3931047466668357
NP_982261	303.0	685.0	10.0	11.0	0.10113983726861242			0.27129804363880405
NP_982284	371.0	900.0	15.0	17.0	0.0475516379362603			0.17761668448155785
NP_997226	160.0	393.0	12.0	6.0	0.0012518115030399732			0.024649897191341336
NP_998754	419.0	933.0	15.0	21.0	0.20179347698013814			0.38331546312208886
