	NotOutlier_PAM50_LumA_LumA	NotOutlier_PAM50_LumA_not-LumA	Outliers_PAM50_LumA_LumA	Outliers_PAM50_LumA_not-LumA	fisherp_PAM50_LumA_LumA	fisherp_PAM50_LumA_not-LumA	fisherFDR_PAM50_LumA_not-LumA	fisherFDR_PAM50_LumA_LumA
NP_001129663	367.0	821.0	11.0	15.0	0.28318150912701817			0.46209220579737365
NP_001135441	214.0	477.0	10.0	20.0	0.8407409848613225			0.9071652161709078
NP_001136113	122.0	281.0	7.0	10.0	0.420560799019418			0.5760116387715811
NP_001137532	240.0	592.0	14.0	11.0	0.0062917458593632946			0.05276236001360798
NP_001138678	534.0	1202.0	28.0	30.0	0.006100753959999868			0.05276236001360798
NP_001138829	179.0	396.0	14.0	30.0	1.0			1.0
NP_001138926	170.0	399.0	8.0	8.0	0.09989453745134057			0.2740981435436489
NP_001153575	243.0	563.0	12.0	13.0	0.07602232554439325			0.24195103811230947
NP_001155856	467.0	1067.0	16.0	30.0	0.5194195695685087			0.6620876063918673
NP_001155973	225.0	525.0	12.0	17.0	0.21754757168838662			0.4060904486062681
NP_001156793	140.0	330.0	16.0	3.0	2.4191053621775225e-06			0.0005781661815604279
NP_001157745	391.0	862.0	29.0	49.0	0.3148597061274167			0.49232853096072704
NP_001157789	805.0	1824.0	32.0	51.0	0.14686882615093239			0.3220334811933288
NP_001157852	172.0	411.0	15.0	8.0	0.0007320847813966695			0.012066776741641656
NP_001164100	275.0	629.0	13.0	25.0	0.5947147417192553			0.7240243250883399
NP_001167558	178.0	411.0	13.0	16.0	0.1029564938118796			0.27413593336737835
NP_001167587	222.0	523.0	12.0	16.0	0.1463977800156467			0.3220334811933288
NP_001171914	476.0	1050.0	26.0	49.0	0.5257256080131605			0.6648064566938907
NP_001177666	307.0	654.0	8.0	8.0	0.17461635115260343			0.3582258191027658
NP_001180345	212.0	506.0	18.0	16.0	0.006676549048952086			0.05318984075665162
NP_001181875	270.0	615.0	12.0	15.0	0.1397002976765116			0.31798448709225025
NP_001182555	27.0	69.0	7.0	5.0	0.04779050773389604			0.1873819771697702
NP_001184033	252.0	564.0	19.0	26.0	0.13681750199656834			0.3144171440113445
NP_001186308	309.0	680.0	19.0	40.0	0.8855869059712294			0.9324020728067128
NP_001186346	207.0	449.0	11.0	18.0	0.5414636582273421			0.6757692653594505
NP_001191332	391.0	853.0	21.0	24.0	0.03508268617879429			0.14699972319046797
NP_001191397	257.0	606.0	18.0	34.0	0.44120586588287347			0.5976298334474796
NP_001191676	176.0	397.0	12.0	14.0	0.1284600675558291			0.3054921009536632
NP_001193928	87.0	203.0	7.0	10.0	0.4164393197928318			0.5736541638644772
NP_001193937	663.0	1496.0	32.0	57.0	0.29403939286405745			0.4748338844223631
NP_001193980	304.0	680.0	16.0	19.0	0.0933305000554015			0.2690586306821254
NP_001230685	350.0	807.0	17.0	25.0	0.17340022706810385			0.3582258191027658
NP_001238759	432.0	972.0	17.0	27.0	0.32009355404461703			0.49232853096072704
NP_001243111	257.0	598.0	11.0	25.0	1.0			1.0
NP_001243399	330.0	711.0	9.0	18.0	0.8365410721361484			0.9046756390974636
NP_001243415	285.0	635.0	11.0	19.0	0.5490783633041478			0.6809437718241798
NP_001244119	57.0	148.0	9.0	6.0	0.016142363610971946			0.09525987414869865
NP_001245244	112.0	271.0	13.0	8.0	0.002924629643113487			0.03494932423520617
NP_001245303	462.0	1030.0	14.0	28.0	0.737178366672765			0.8271625804450274
NP_001258898	258.0	633.0	15.0	18.0	0.05132672807300514			0.19627340815117167
NP_001258928	491.0	1090.0	24.0	48.0	0.6970878716453115			0.791467939777812
NP_001264	483.0	1119.0	41.0	44.0	0.0006962063812866827			0.012066776741641656
NP_001265389	552.0	1256.0	13.0	27.0	0.8623784825687184			0.9221854914269516
NP_001303	183.0	398.0	11.0	15.0	0.2832489880724487			0.46209220579737365
NP_001334	243.0	536.0	11.0	19.0	0.5498834642764298			0.6809437718241798
NP_001408	367.0	809.0	21.0	39.0	0.5689874649347935			0.6973743800995674
NP_001420	201.0	456.0	14.0	23.0	0.3641021254123626			0.5319825609854847
NP_001446	253.0	594.0	16.0	17.0	0.03250482132200063			0.13916485654167196
NP_001460	137.0	318.0	10.0	11.0	0.09604205687314685			0.2690586306821254
NP_001509	255.0	590.0	10.0	11.0	0.09625319214778963			0.2690586306821254
NP_001511	257.0	564.0	20.0	38.0	0.6612150541180373			0.7719049309469601
NP_001512	175.0	404.0	11.0	13.0	0.11663302317594657			0.2937769656089574
NP_001605	298.0	673.0	17.0	32.0	0.5309202579929764			0.6678417982122177
NP_001615	389.0	972.0	22.0	23.0	0.004524610035872174			0.04545230487836403
NP_001803	210.0	474.0	11.0	17.0	0.4042288572330158			0.5600620108909611
NP_001894	352.0	784.0	17.0	27.0	0.32002772635113513			0.49232853096072704
NP_001895	126.0	294.0	13.0	14.0	0.05526149868073041			0.20382597305497216
NP_001931	273.0	611.0	23.0	47.0	0.7884974814400514			0.868437318268075
NP_001978	360.0	870.0	23.0	34.0	0.07693840542483481			0.24195103811230947
NP_002105	380.0	857.0	15.0	25.0	0.3860606284099808			0.542755824646973
NP_002130	413.0	901.0	24.0	41.0	0.3429832314198888			0.5109923067877364
NP_002145	146.0	328.0	7.0	9.0	0.2810982843176265			0.46209220579737365
