	NotOutlier_PIK3CA.Mutation.Status_False	NotOutlier_PIK3CA.Mutation.Status_True	Outliers_PIK3CA.Mutation.Status_False	Outliers_PIK3CA.Mutation.Status_True	fisherp_PIK3CA.Mutation.Status_False	fisherp_PIK3CA.Mutation.Status_True	fisherFDR_PIK3CA.Mutation.Status_False	fisherFDR_PIK3CA.Mutation.Status_True
NP_114128	1074.0	544.0	28.0	15.0		0.87093622482568		0.9013208990532388
NP_115554	153.0	66.0	8.0	11.0		0.019849276675676805		0.05374285288603059
NP_115593	829.0	429.0	24.0	19.0		0.19211100541954204		0.29642934707208907
NP_115751	338.0	168.0	17.0	13.0		0.32003862123403726		0.4194113438089895
NP_115812	2028.0	1033.0	52.0	40.0		0.05766646214657685		0.12538086845505725
NP_115820	398.0	208.0	12.0	24.0		0.00023020182983906774		0.0021312233923810463
NP_116126	491.0	256.0	14.0	13.0		0.15196934205162715		0.2580781134249526
NP_149074	213.0	105.0	4.0	11.0		0.0035541136046487692		0.015224337381107414
NP_149107	578.0	305.0	17.0	21.0		0.01414191763748044		0.04560371193209985
NP_149131	980.0	492.0	37.0	21.0		0.6718731382936407		0.7388030294646547
NP_203747	342.0	160.0	7.0	18.0		9.743868763706942e-05		0.0009987465482799616
NP_361013	882.0	466.0	26.0	17.0		0.5174060340300046		0.6017044250385103
NP_387505	378.0	181.0	7.0	14.0		0.001823892494430828		0.00951740265275723
NP_476510	678.0	320.0	14.0	12.0		0.14028969015029638		0.24109665313254527
NP_490597	495.0	261.0	8.0	13.0		0.01804253867282173		0.05161542186938872
NP_597677	1069.0	528.0	20.0	22.0		0.012298808294908906		0.04011088614362337
NP_597709	353.0	181.0	7.0	20.0		4.314719846154614e-05		0.0005384019981940758
NP_612398	235.0	95.0	7.0	9.0		0.025989266378949993		0.06761957370326475
NP_620137	717.0	348.0	23.0	12.0		0.8557229072736774		0.8963228992246183
NP_620305	1079.0	559.0	37.0	27.0		0.18282182493635693		0.29266137284251187
NP_653173	320.0	173.0	7.0	11.0		0.04204652243199168		0.0973173543385614
NP_683692	1119.0	585.0	24.0	20.0		0.14814587574991678		0.25308253773944117
NP_689969	646.0	363.0	24.0	18.0		0.41320827430622165		0.5067981825892548
NP_705833	567.0	296.0	21.0	20.0		0.06556048747981157		0.1337094195106379
NP_733751	889.0	494.0	21.0	24.0		0.018164312225812756		0.05161542186938872
NP_803187	246.0	118.0	12.0	16.0		0.011996295869630648		0.039573987523953975
NP_821074	449.0	231.0	14.0	9.0		0.6566637610013261		0.7304748039045759
NP_859066	552.0	268.0	13.0	26.0		3.6352729569015166e-05		0.0004742378811957888
NP_872363	1175.0	604.0	48.0	26.0		0.9004057043300724		0.9229158469383242
NP_892017	850.0	437.0	21.0	19.0		0.09041380217798013		0.17184610082834634
NP_898868	1007.0	519.0	29.0	22.0		0.18003968296044312		0.29266137284251187
NP_940890	1445.0	721.0	60.0	59.0		0.00045916042466013807		0.0035615957264178277
NP_942133	652.0	312.0	12.0	35.0		1.1549043701723287e-08		8.286438855986459e-07
NP_958782	1756.0	923.0	66.0	37.0		0.7523404838371832		0.8086955762594441
NP_976049	153.0	75.0	8.0	13.0		0.014933688032607063		0.04709855456437612
NP_982261	647.0	323.0	20.0	19.0		0.05698765855801202		0.12485082447442328
NP_982284	832.0	430.0	25.0	16.0		0.5075548814804194		0.5994578229830467
NP_997006	825.0	421.0	37.0	23.0		0.48678115014890233		0.5845447284214852
NP_998754	888.0	445.0	21.0	34.0		3.225151631970387e-05		0.00046280925918775053
XP_003846661	884.0	459.0	27.0	15.0		0.8693381256882664		0.9013208990532388
XP_003960280	743.0	407.0	20.0	19.0		0.09205052380058673		0.17380592322873942
