	NotOutlier_GATA3.Mutation.Status_False	NotOutlier_GATA3.Mutation.Status_True	Outliers_GATA3.Mutation.Status_False	Outliers_GATA3.Mutation.Status_True	fisherp_GATA3.Mutation.Status_False	fisherp_GATA3.Mutation.Status_True	fisherFDR_GATA3.Mutation.Status_False	fisherFDR_GATA3.Mutation.Status_True
NP_055601	1729.0	155.0	41.0	18.0		1.3194366943161558e-06		7.036995703019498e-05
NP_055662	1323.0	132.0	46.0	7.0		0.3280211431225608		0.47408740997615045
NP_055692	438.0	39.0	17.0	6.0		0.01185508855064778		0.05547406002431396
NP_055726	860.0	85.0	25.0	4.0		0.32889814067095435		0.47408740997615045
NP_055806	477.0	52.0	12.0	5.0		0.02412049850207721		0.08975069210075241
NP_055842	960.0	87.0	44.0	15.0		0.00013929752055823113		0.002228760328931698
NP_055847	1058.0	91.0	28.0	3.0		0.731699152863561		0.8090149596757897
NP_055858	654.0	57.0	27.0	7.0		0.020635504015247153		0.08465847801127037
NP_055927	1513.0	134.0	55.0	5.0		0.8135330841100884		0.8322524100996421
NP_055972	2023.0	212.0	74.0	11.0		0.26354145236670895		0.41666161545628416
NP_056077	736.0	57.0	21.0	10.0		7.288254461028772e-05		0.0014576508922057544
NP_056182	473.0	47.0	32.0	5.0		0.375579023617281		0.5180400325755601
NP_056193	1202.0	126.0	66.0	12.0		0.11319870896595344		0.2602797628813063
NP_056280	212.0	19.0	11.0	3.0		0.11927637638743947		0.26142767427383995
NP_056281	431.0	38.0	18.0	3.0		0.40611479258504624		0.5370112959802265
NP_056371	2268.0	232.0	60.0	11.0		0.09561067126323992		0.2390266781580998
NP_056505	104.0	9.0	12.0	3.0		0.1493902225681152		0.30256247608732195
NP_057332	1467.0	144.0	59.0	6.0		0.8265147964254498		0.8322524100996421
NP_057417	10310.0	988.0	224.0	25.0		0.4957407929938141		0.5919293050672406
NP_057455	45.0	4.0	4.0	3.0		0.03486387826010455		0.11868554301312187
NP_060224	390.0	42.0	20.0	5.0		0.1628532733272364		0.3177624845409491
NP_060252	679.0	64.0	26.0	4.0		0.3262758468372869		0.47408740997615045
NP_060427	553.0	42.0	34.0	10.0		0.0015537652787604177		0.014623673211862755
NP_060496	671.0	65.0	28.0	5.0		0.21289012570981752		0.35972764450896283
NP_060537	2001.0	188.0	61.0	9.0		0.19852164721265514		0.3452550386307046
NP_060682	113.0	8.0	1.0	3.0		0.0019749519547019975		0.016197511656107694
NP_060813	460.0	45.0	9.0	3.0		0.09095991315136592		0.23473525974546045
NP_060821	606.0	59.0	31.0	7.0		0.07691633984194154		0.2085866843171296
NP_064533	496.0	46.0	14.0	5.0		0.02220577728844974		0.08665669185736484
NP_065073	999.0	97.0	24.0	15.0		1.0979776205646945e-06		7.036995703019498e-05
NP_065176	2015.0	205.0	69.0	12.0		0.11712589329658783		0.2602797628813063
NP_065823	781.0	80.0	32.0	5.0		0.38514883781914594		0.5266992653937039
NP_065849	137.0	10.0	6.0	4.0		0.006236587698857773		0.04020433251520587
