	NotOutlier_TP53.Mutation.Status_False	NotOutlier_TP53.Mutation.Status_True	Outliers_TP53.Mutation.Status_False	Outliers_TP53.Mutation.Status_True	fisherp_TP53.Mutation.Status_False	fisherp_TP53.Mutation.Status_True	fisherFDR_TP53.Mutation.Status_True	fisherFDR_TP53.Mutation.Status_False
NP_006258	1991.0	2109.0	51.0	70.0		0.16759258029331325	0.2534579146411219	
NP_006266	346.0	386.0	12.0	16.0		0.7027147947393606	0.7646510547866471	
NP_006303	1423.0	1499.0	41.0	54.0		0.298691411425017	0.40208459230290744	
NP_006319	617.0	646.0	12.0	34.0		0.0024507630511486416	0.010007282458856953	
NP_006531	436.0	457.0	14.0	22.0		0.30764821443750734	0.4074260137145368	
NP_006600	378.0	399.0	13.0	18.0		0.5831958157248913	0.661299997007367	
NP_006608	1482.0	1534.0	20.0	101.0		2.7821407135498013e-13	2.2720815827323378e-11	
NP_006654	773.0	792.0	18.0	41.0		0.005020414871852669	0.016400021914718718	
NP_006658	115.0	110.0	0.0	16.0		2.321263540321138e-05	0.00019522280481594059	
NP_006725	412.0	422.0	6.0	23.0		0.0022485855043759082	0.009354900933108569	
NP_008835	255.0	263.0	8.0	17.0		0.10396708567050796	0.17395010012178133	
NP_009057	311.0	338.0	9.0	21.0		0.06208711182870919	0.11523744240934661	
NP_009114	651.0	642.0	15.0	33.0		0.011796024544031085	0.03107554852997436	
NP_009131	1424.0	1523.0	59.0	64.0		1.0	1.0	
NP_009298	297.0	305.0	7.0	17.0		0.06147926226627434	0.11498029965829935	
NP_036252	405.0	428.0	15.0	23.0		0.3202630584965578	0.4173640921896631	
NP_036288	825.0	803.0	34.0	38.0		0.6304039577191277	0.7035658955861708	
NP_036387	366.0	376.0	18.0	24.0		0.43235236212639	0.5218045749801258	
NP_036441	637.0	663.0	2.0	50.0		1.9827530928205755e-12	8.096241795684017e-11	
NP_037450	796.0	826.0	19.0	47.0		0.0015011574537567543	0.0070727610802000926	
NP_054706	764.0	820.0	17.0	31.0		0.10581989914550302	0.17399916302448484	
NP_054749	466.0	504.0	16.0	33.0		0.03992411683601443	0.08695991472825439	
NP_054831	838.0	861.0	33.0	40.0		0.5504732724064633	0.6331734823454624	
NP_055144	526.0	559.0	20.0	22.0		1.0	1.0	
NP_055160	1201.0	1249.0	22.0	50.0		0.002548734458731803	0.01023672036703757	
NP_055205	234.0	231.0	4.0	19.0		0.0022101240145776563	0.009354900933108569	
NP_055412	453.0	467.0	11.0	26.0		0.027938793478139327	0.0638209475958411	
NP_055456	1039.0	1066.0	27.0	67.0		8.237879199881424e-05	0.0005936118835208673	
NP_055535	580.0	612.0	17.0	25.0		0.3469392781295143	0.4357722488785125	
NP_055542	416.0	437.0	15.0	21.0		0.49654637631696946	0.587699817379988	
NP_055554	1211.0	1294.0	30.0	42.0		0.28318326228067087	0.3872640524895663	
NP_055596	482.0	516.0	13.0	23.0		0.1754359885217786	0.2636921299867225	
NP_055599	958.0	961.0	31.0	33.0		0.8990318226806335	0.9333169345625221	
NP_055627	1302.0	1397.0	30.0	74.0		8.614158248618952e-05	0.0005945260159405073	
NP_055647	524.0	550.0	7.0	24.0		0.005387733447063269	0.016916918597724033	
NP_055662	712.0	743.0	16.0	37.0		0.007661401229423914	0.021330037513737035	
NP_055750	760.0	808.0	39.0	55.0		0.20304282517841651	0.2926205421688944	
NP_055820	1169.0	1164.0	23.0	59.0		0.00010749178802039092	0.0006752689247434815	
NP_055831	468.0	483.0	11.0	27.0		0.019400474995700988	0.04614676091210429	
NP_055847	560.0	589.0	11.0	20.0		0.2017126219995659	0.2924236236088381	
NP_055872	552.0	574.0	9.0	36.0		0.00010574624895638766	0.0006752689247434815	
NP_055880	408.0	412.0	7.0	47.0		5.751090011532745e-08	1.1612479169655061e-06	
NP_055888	610.0	662.0	23.0	25.0		1.0	1.0	
NP_055907	287.0	291.0	4.0	14.0		0.029237447727506423	0.06571719902054196	
NP_055928	263.0	297.0	5.0	13.0		0.14911902305537084	0.23122886486434086	
NP_055970	485.0	516.0	11.0	20.0		0.20108848936286944	0.2924236236088381	
NP_055987	682.0	748.0	12.0	32.0		0.008614785112286071	0.023714857893371768	
NP_056056	551.0	562.0	3.0	27.0		8.436391028345429e-06	7.655243710906037e-05	
NP_056060	473.0	484.0	9.0	28.0		0.003787704507477898	0.013164629264067987	
NP_056067	543.0	554.0	7.0	35.0		2.3904833242768234e-05	0.00019522280481594059	
NP_056093	740.0	779.0	10.0	52.0		1.8690813053901965e-07	2.9265202270888987e-06	
NP_056171	1112.0	1131.0	20.0	74.0		3.918939577056979e-08	8.728547239808727e-07	
NP_056193	652.0	676.0	26.0	52.0		0.007194643606035725	0.02073750215857356	
