	NotOutlier_PAM50_Her2_Her2	NotOutlier_PAM50_Her2_not-Her2	Outliers_PAM50_Her2_Her2	Outliers_PAM50_Her2_not-Her2	fisherp_PAM50_Her2_Her2	fisherp_PAM50_Her2_not-Her2	fisherFDR_PAM50_Her2_not-Her2	fisherFDR_PAM50_Her2_Her2
NP_065897	168.0	946.0	10.0	27.0	0.061682598914120625			0.10233703910751832
NP_065899	460.0	2392.0	18.0	55.0	0.07553112834410834			0.11776989526275534
NP_065905	129.0	676.0	5.0	17.0	0.3812782667063575			0.41998141037751036
NP_065910	329.0	1752.0	20.0	49.0	0.0070004588580289675			0.022666808318537342
NP_065939	382.0	2030.0	29.0	64.0	0.00028901819589434967			0.0025226262098169867
NP_065952	207.0	1237.0	28.0	40.0	1.6104545324406182e-07			1.0776624912915138e-05
NP_065953	320.0	1724.0	19.0	38.0	0.0013871168262730741			0.008250776381461322
NP_065970	74.0	433.0	6.0	15.0	0.11133463967278838			0.1602181284180091
NP_066018	97.0	577.0	19.0	19.0	6.541570991191432e-07			3.0899302976039524e-05
NP_066565	50.0	295.0	9.0	11.0	0.0016516039374379011			0.009209985845573853
NP_066576	85.0	499.0	8.0	20.0	0.056593303425834775			0.09527132631225435
NP_066997	133.0	748.0	9.0	30.0	0.17631473228672254			0.23058750818605567
NP_067007	16.0	83.0	4.0	0.0	0.0010958377391137198			0.006864518305096521
NP_067051	214.0	1169.0	28.0	48.0	1.0066318720223262e-05			0.00025260168538560247
NP_067643	233.0	1215.0	12.0	41.0	0.2533409193100729			0.3022775010490171
NP_067652	56.0	347.0	5.0	18.0	0.35218450963325443			0.39294396162127887
NP_068506	353.0	1833.0	11.0	46.0	0.471718846421854			0.5030414789863862
NP_068751	63.0	329.0	4.0	15.0	0.5290096319306141			0.5545623165016752
NP_071349	103.0	602.0	10.0	24.0	0.02718606212982442			0.056119300489072
NP_071387	97.0	528.0	7.0	12.0	0.022117518679834757			0.049124365718117236
NP_071401	43.0	246.0	10.0	8.0	0.00015498410376664972			0.001752848384853799
NP_071440	62.0	405.0	13.0	17.0	0.00011141598520332005			0.0013453966376616858
NP_071496	71.0	391.0	6.0	9.0	0.021730099385034868			0.04847630453756112
NP_072174	788.0	4409.0	38.0	108.0	0.0010097762082564078			0.006669948951828207
NP_073568	178.0	972.0	16.0	50.0	0.08131097395476775			0.12508182391892433
NP_073585	257.0	1397.0	12.0	56.0	0.6103521389254705			0.6309541105431725
NP_073589	44.0	214.0	5.0	17.0	0.5572010151828091			0.5795756673468856
NP_073602	80.0	449.0	9.0	13.0	0.004106921886491414			0.016009020751711674
NP_073605	137.0	855.0	32.0	40.0	1.967991065632093e-09			2.633828042837618e-07
NP_073609	82.0	460.0	8.0	13.0	0.010687636688181857			0.03043323496670224
NP_073613	74.0	438.0	7.0	21.0	0.16750642244175237			0.2208664322179428
NP_073728	36.0	223.0	4.0	7.0	0.06281825202485707			0.10357917120320374
NP_073739	95.0	544.0	14.0	15.0	3.9263782465174664e-05			0.0006182121043046128
NP_073752	95.0	516.0	10.0	29.0	0.11398292455908345			0.16344337218025715
NP_075045	43.0	275.0	5.0	7.0	0.018981000032287185			0.04387234924649616
NP_075047	32.0	242.0	7.0	5.0	0.0002485496270943377			0.002320759890194804
NP_075384	88.0	500.0	8.0	10.0	0.003328979574623913			0.014143759780015882
NP_075385	159.0	890.0	19.0	33.0	0.0002874431147140006			0.0025226262098169867
NP_075387	21.0	106.0	5.0	5.0	0.021732838896042345			0.04847630453756112
NP_075392	39.0	205.0	5.0	8.0	0.05182392283506482			0.09064075366148731
NP_075447	89.0	471.0	9.0	15.0	0.010651076807398236			0.03043323496670224
NP_075463	141.0	788.0	9.0	17.0	0.013006096053253485			0.034812983769208494
NP_076413	53.0	306.0	6.0	14.0	0.10339980630246015			0.1531919639499548
NP_076916	141.0	764.0	14.0	29.0	0.009364767689787586			0.0279550500182135
NP_076936	69.0	418.0	6.0	6.0	0.004164530551595903			0.016155159579379276
NP_076952	22.0	129.0	5.0	5.0	0.012835706547128749			0.034703947331125876
NP_076990	53.0	279.0	5.0	5.0	0.015154553776966806			0.03806767166972696
NP_077007	15.0	82.0	4.0	8.0	0.2171730031819204			0.2687055802081388
NP_078772	146.0	814.0	19.0	40.0	0.0015684546473962934			0.008956337539403088
NP_078779	134.0	764.0	16.0	25.0	0.00022951426517080518			0.0021940470825256735
NP_078976	35.0	260.0	12.0	7.0	7.647307400765499e-07			3.2319936014814193e-05
NP_079010	132.0	685.0	10.0	18.0	0.016449871481596084			0.03990709002937056
NP_079031	140.0	826.0	19.0	35.0	0.00029381521628679176			0.0025369206309493954
NP_079052	201.0	1122.0	10.0	31.0	0.1226741362207316			0.17251721783756127
NP_079087	57.0	322.0	8.0	9.0	0.0024897645087532706			0.01162372616586556
NP_079119	46.0	229.0	4.0	6.0	0.07806971797883493			0.12078994901156927
NP_079194	67.0	336.0	5.0	8.0	0.05594827522384043			0.09488992465266771
NP_079223	128.0	650.0	9.0	17.0	0.028714661687282053			0.058519870311526515
NP_079410	65.0	366.0	7.0	26.0	0.3247674910168941			0.3673074581500929
NP_079413	27.0	139.0	6.0	6.0	0.010561095371450675			0.03039627090779531
NP_079440	118.0	635.0	8.0	21.0	0.11656012923436904			0.166248283792537
NP_079524	230.0	1247.0	8.0	36.0	0.672415804135045			0.6878342556948295
NP_109590	172.0	920.0	14.0	26.0	0.0035048044795677924			0.014489967770285229
NP_110394	141.0	751.0	7.0	22.0	0.2991607855181766			0.3431801582444226
NP_110429	119.0	614.0	9.0	19.0	0.03752852661724977			0.07124209662801789
NP_112179	110.0	547.0	7.0	24.0	0.46022080146962785			0.49247321106355213
NP_112197	121.0	667.0	12.0	21.0	0.003326231168662817			0.014143759780015882
NP_112199	46.0	261.0	9.0	11.0	0.00216334670527499			0.010723255582319858
NP_112223	61.0	349.0	6.0	16.0	0.12979452866309665			0.18000864683327567
NP_112420	101.0	564.0	12.0	26.0	0.012106593856411694			0.033066649206457785
NP_112533	138.0	787.0	7.0	18.0	0.0874075227873701			0.1321812444411642
NP_112604	80.0	449.0	8.0	37.0	0.665756257552099			0.6818906566509382
NP_113584	410.0	2223.0	30.0	86.0	0.006055170442446203			0.020868248348859662
NP_113612	55.0	256.0	5.0	15.0	0.3788497692149261			0.4178796218126177
NP_113631	68.0	340.0	6.0	10.0	0.04295996154433776			0.07926782074347025
NP_114032	85.0	468.0	9.0	31.0	0.25995475398666323			0.30742463786847124
NP_114128	254.0	1347.0	19.0	41.0	0.0036977464715729257			0.014772589137676912
NP_114129	105.0	583.0	16.0	27.0	0.0009352273308087408			0.006459272000158968
NP_114152	25.0	178.0	8.0	8.0	0.0006305685847107114			0.004822348319263822
NP_114412	27.0	139.0	5.0	10.0	0.14789432106948575			0.20026836394400852
NP_115498	32.0	204.0	5.0	16.0	0.1995413542602235			0.2531306595117843
NP_115518	87.0	572.0	9.0	12.0	0.0010594636090676547			0.0066988132132387935
NP_115593	194.0	1056.0	15.0	36.0	0.017353449001086103			0.04122727676885249
NP_115647	36.0	230.0	6.0	16.0	0.10842018401041686			0.15771994159486366
NP_115667	73.0	406.0	6.0	7.0	0.009558051035706568			0.02832145749694603
NP_115751	77.0	438.0	11.0	10.0	0.00011196122246522817			0.0013453966376616858
NP_115812	492.0	2555.0	24.0	82.0	0.08230642614735705			0.12579305522102738
NP_115979	69.0	378.0	8.0	9.0	0.0027820961992410893			0.01248057680441673
NP_116114	146.0	944.0	35.0	55.0	1.0504331700136769e-08			1.2049969078871177e-06
NP_116126	113.0	625.0	12.0	24.0	0.008750166966459503			0.02641497772205632
NP_116165	129.0	679.0	19.0	25.0	3.365447069064696e-05			0.0005586614051269417
NP_116196	22.0	121.0	5.0	5.0	0.016024154949310362			0.039591988997834525
NP_116253	48.0	228.0	6.0	19.0	0.41615405230502933			0.4521944573761009
NP_116259	65.0	342.0	8.0	14.0	0.03520287927885457			0.06827998082347879
NP_149131	224.0	1272.0	15.0	19.0	6.0137929860716614e-05			0.000877650197068277
NP_150091	76.0	465.0	11.0	13.0	0.00028461098842413266			0.0025226262098169867
NP_150241	241.0	1272.0	17.0	37.0	0.00468422601561584			0.017742610804431694
NP_203754	908.0	4816.0	34.0	140.0	0.20672690788493187			0.2591000714607197
NP_277052	232.0	1188.0	15.0	44.0	0.07468629436091326			0.11776989526275534
